,is_installed,is_returning,eightd_has_available_keys,station_id,num_bikes_available,num_docks_available,station_status,legacy_id,num_ebikes_available,is_renting,last_reported,num_docks_disabled,num_bikes_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
56,True,True,False,65,11,11,active,65,0,True,2020-07-29 22:08:42+00:00,0,1,,,2020-07-30 00:32:35,2020
57,True,True,False,66,9,5,active,66,0,True,2020-07-30 00:29:00+00:00,0,1,,,2020-07-30 00:32:35,2020
58,True,True,True,67,15,9,active,67,0,True,2020-07-30 00:31:52+00:00,0,3,,,2020-07-30 00:32:35,2020
59,True,True,True,68,5,13,active,68,0,True,2020-07-30 00:25:02+00:00,0,1,,,2020-07-30 00:32:35,2020
60,True,True,True,69,7,12,active,69,0,True,2020-07-30 00:24:06+00:00,0,0,,,2020-07-30 00:32:35,2020
61,True,True,False,70,4,19,active,70,0,True,2020-07-30 00:30:01+00:00,0,0,,,2020-07-30 00:32:35,2020
62,True,True,False,71,21,2,active,71,0,True,2020-07-30 00:18:16+00:00,0,0,,,2020-07-30 00:32:35,2020
63,True,True,False,72,4,19,active,72,0,True,2020-07-30 00:23:50+00:00,0,0,,,2020-07-30 00:32:35,2020
64,True,True,False,73,14,0,active,73,0,True,2020-07-30 00:29:42+00:00,0,1,,,2020-07-30 00:32:35,2020
65,True,True,True,74,12,6,active,74,0,True,2020-07-30 00:23:01+00:00,0,1,,,2020-07-30 00:32:35,2020
66,True,True,False,75,0,15,active,75,0,True,2020-07-29 22:38:51+00:00,0,0,,,2020-07-30 00:32:35,2020
67,True,True,False,76,3,13,active,76,0,True,2020-07-30 00:16:38+00:00,0,1,,,2020-07-30 00:32:35,2020
68,True,True,False,77,10,5,active,77,0,True,2020-07-30 00:24:13+00:00,0,0,,,2020-07-30 00:32:35,2020
69,True,True,False,78,18,1,active,78,0,True,2020-07-29 23:56:29+00:00,0,0,,,2020-07-30 00:32:35,2020
70,True,True,False,79,10,8,active,79,0,True,2020-07-30 00:31:14+00:00,0,1,,,2020-07-30 00:32:35,2020
71,True,True,False,80,3,31,active,80,0,True,2020-07-30 00:31:34+00:00,0,1,,,2020-07-30 00:32:35,2020
72,True,True,False,81,7,12,active,81,0,True,2020-07-30 00:25:22+00:00,0,0,,,2020-07-30 00:32:35,2020
73,True,True,False,82,0,15,active,82,0,True,2020-07-29 23:31:25+00:00,0,0,,,2020-07-30 00:32:35,2020
74,True,True,False,84,9,5,active,84,0,True,2020-07-29 23:48:30+00:00,0,1,,,2020-07-30 00:32:35,2020
75,True,True,False,85,0,18,active,85,0,True,2020-07-30 00:02:08+00:00,0,1,,,2020-07-30 00:32:35,2020
76,True,True,False,86,2,16,active,86,0,True,2020-07-30 00:28:55+00:00,0,1,,,2020-07-30 00:32:35,2020
77,True,True,False,87,0,14,active,87,0,True,2020-07-30 00:02:09+00:00,0,1,,,2020-07-30 00:32:35,2020
78,True,True,False,89,14,5,active,89,0,True,2020-07-30 00:19:46+00:00,0,0,,,2020-07-30 00:32:35,2020
79,True,True,False,90,6,11,active,90,0,True,2020-07-30 00:21:24+00:00,0,2,,,2020-07-30 00:32:35,2020
80,True,True,False,91,0,17,active,91,0,True,2020-07-30 00:28:32+00:00,0,2,,,2020-07-30 00:32:35,2020
81,True,True,False,92,8,10,active,92,0,True,2020-07-30 00:15:15+00:00,0,1,,,2020-07-30 00:32:35,2020
82,True,True,False,93,5,8,active,93,0,True,2020-07-30 00:28:35+00:00,0,2,,,2020-07-30 00:32:35,2020
83,True,True,False,94,8,3,active,94,0,True,2020-07-30 00:17:33+00:00,0,0,,,2020-07-30 00:32:35,2020
84,True,True,False,95,9,5,active,95,0,True,2020-07-30 00:13:51+00:00,0,1,,,2020-07-30 00:32:35,2020
85,True,True,False,96,9,10,active,96,0,True,2020-07-30 00:29:59+00:00,0,0,,,2020-07-30 00:32:35,2020
86,True,True,False,97,9,9,active,97,0,True,2020-07-30 00:31:30+00:00,0,1,,,2020-07-30 00:32:35,2020
87,True,True,False,98,8,14,active,98,0,True,2020-07-30 00:28:07+00:00,0,0,,,2020-07-30 00:32:35,2020
88,True,True,False,99,9,6,active,99,0,True,2020-07-30 00:30:45+00:00,0,0,,,2020-07-30 00:32:35,2020
89,True,True,True,100,12,12,active,100,0,True,2020-07-30 00:31:34+00:00,0,1,,,2020-07-30 00:32:35,2020
90,True,True,False,101,4,11,active,101,0,True,2020-07-29 23:31:39+00:00,0,0,,,2020-07-30 00:32:35,2020
91,True,True,False,102,5,10,active,102,0,True,2020-07-29 23:35:08+00:00,0,0,,,2020-07-30 00:32:35,2020
92,True,True,False,103,1,13,active,103,0,True,2020-07-30 00:08:33+00:00,0,1,,,2020-07-30 00:32:35,2020
93,True,True,False,104,12,6,active,104,0,True,2020-07-29 23:57:06+00:00,0,1,,,2020-07-30 00:32:35,2020
94,True,True,False,105,15,4,active,105,0,True,2020-07-30 00:31:37+00:00,0,0,,,2020-07-30 00:32:35,2020
95,True,True,False,106,11,4,active,106,0,True,2020-07-29 12:13:40+00:00,0,0,,,2020-07-30 00:32:35,2020
96,True,True,False,107,15,4,active,107,0,True,2020-07-30 00:27:38+00:00,0,0,,,2020-07-30 00:32:35,2020
97,True,True,False,108,14,3,active,108,0,True,2020-07-30 00:22:47+00:00,0,0,,,2020-07-30 00:32:35,2020
98,True,True,False,109,23,10,active,109,0,True,2020-07-30 00:10:11+00:00,0,2,,,2020-07-30 00:32:35,2020
99,True,True,False,110,9,6,active,110,0,True,2020-07-30 00:31:14+00:00,0,0,,,2020-07-30 00:32:35,2020
100,True,True,False,111,4,11,active,111,0,True,2020-07-30 00:04:11+00:00,0,0,,,2020-07-30 00:32:35,2020
101,True,True,False,112,5,10,active,112,0,True,2020-07-29 23:04:34+00:00,0,0,,,2020-07-30 00:32:35,2020
102,True,True,False,113,2,13,active,113,0,True,2020-07-30 00:10:34+00:00,0,0,,,2020-07-30 00:32:35,2020
103,True,True,False,114,2,13,active,114,0,True,2020-07-30 00:23:53+00:00,0,0,,,2020-07-30 00:32:35,2020
104,True,True,False,115,18,1,active,115,0,True,2020-07-30 00:27:19+00:00,0,0,,,2020-07-30 00:32:35,2020
105,True,True,False,116,9,14,active,116,0,True,2020-07-30 00:30:08+00:00,0,0,,,2020-07-30 00:32:35,2020
106,True,True,False,117,17,2,active,117,0,True,2020-07-30 00:13:24+00:00,0,0,,,2020-07-30 00:32:35,2020
107,True,True,False,118,8,11,active,118,0,True,2020-07-30 00:20:59+00:00,0,0,,,2020-07-30 00:32:35,2020
108,True,True,False,119,3,12,active,119,0,True,2020-07-30 00:28:03+00:00,0,0,,,2020-07-30 00:32:35,2020
109,True,True,False,120,9,5,active,120,0,True,2020-07-30 00:26:28+00:00,0,1,,,2020-07-30 00:32:35,2020
110,True,True,False,121,2,14,active,121,0,True,2020-07-30 00:31:19+00:00,0,1,,,2020-07-30 00:32:35,2020
111,True,True,False,122,3,12,active,122,0,True,2020-07-30 00:28:59+00:00,0,0,,,2020-07-30 00:32:35,2020
112,True,True,False,124,4,11,active,124,0,True,2020-07-30 00:26:18+00:00,0,0,,,2020-07-30 00:32:35,2020
113,True,True,False,125,7,8,active,125,0,True,2020-07-30 00:31:17+00:00,0,0,,,2020-07-30 00:32:35,2020
114,True,True,False,126,2,13,active,126,0,True,2020-07-30 00:05:59+00:00,0,0,,,2020-07-30 00:32:35,2020
115,True,True,False,128,15,3,active,128,0,True,2020-07-29 23:15:39+00:00,0,1,,,2020-07-30 00:32:35,2020
116,True,True,False,129,8,11,active,129,0,True,2020-07-29 23:51:35+00:00,0,0,,,2020-07-30 00:32:35,2020
117,True,True,False,130,7,8,active,130,0,True,2020-07-29 17:49:53+00:00,0,0,,,2020-07-30 00:32:35,2020
118,True,True,False,131,9,8,active,131,0,True,2020-07-30 00:24:56+00:00,0,1,,,2020-07-30 00:32:35,2020
119,True,True,False,133,8,15,active,133,0,True,2020-07-30 00:23:31+00:00,0,0,,,2020-07-30 00:32:35,2020
120,True,True,False,135,4,12,active,135,0,True,2020-07-30 00:22:07+00:00,0,1,,,2020-07-30 00:32:35,2020
121,True,True,False,136,17,2,active,136,0,True,2020-07-29 22:45:55+00:00,0,0,,,2020-07-30 00:32:35,2020
122,True,True,False,137,2,13,active,137,0,True,2020-07-30 00:32:20+00:00,0,0,,,2020-07-30 00:32:35,2020
123,True,True,False,138,12,3,active,138,0,True,2020-07-29 23:07:35+00:00,0,0,,,2020-07-30 00:32:35,2020
124,True,True,False,139,13,6,active,139,0,True,2020-07-30 00:12:42+00:00,0,0,,,2020-07-30 00:32:35,2020
125,True,True,False,140,2,15,active,140,0,True,2020-07-30 00:01:47+00:00,0,0,,,2020-07-30 00:32:35,2020
126,True,True,False,141,7,8,active,141,0,True,2020-07-30 00:28:19+00:00,0,0,,,2020-07-30 00:32:35,2020
127,True,True,False,142,13,7,active,142,0,True,2020-07-30 00:15:03+00:00,0,3,,,2020-07-30 00:32:35,2020
128,True,True,False,143,7,15,active,143,0,True,2020-07-30 00:24:47+00:00,0,1,,,2020-07-30 00:32:35,2020
129,True,True,False,144,4,15,active,144,0,True,2020-07-30 00:15:50+00:00,0,0,,,2020-07-30 00:32:35,2020
130,True,True,False,145,14,5,active,145,0,True,2020-07-29 23:54:38+00:00,0,0,,,2020-07-30 00:32:35,2020
131,True,True,False,146,12,6,active,146,0,True,2020-07-30 00:20:02+00:00,0,1,,,2020-07-30 00:32:35,2020
132,True,True,True,149,10,8,active,149,0,True,2020-07-30 00:07:21+00:00,0,0,,,2020-07-30 00:32:35,2020
133,True,True,False,150,16,3,active,150,0,True,2020-07-29 22:58:03+00:00,0,0,,,2020-07-30 00:32:35,2020
134,True,True,False,151,3,15,active,151,0,True,2020-07-30 00:30:18+00:00,0,1,,,2020-07-30 00:32:35,2020
135,True,True,True,152,12,3,active,152,0,True,2020-07-30 00:28:41+00:00,0,0,,,2020-07-30 00:32:35,2020
136,True,True,False,156,6,9,active,156,0,True,2020-07-30 00:02:12+00:00,0,0,,,2020-07-30 00:32:35,2020
137,True,True,False,157,12,0,active,157,0,True,2020-07-30 00:30:57+00:00,0,3,,,2020-07-30 00:32:35,2020
138,True,True,False,159,5,9,active,159,0,True,2020-07-29 23:52:11+00:00,0,1,,,2020-07-30 00:32:35,2020
139,True,True,True,160,10,4,active,160,0,True,2020-07-30 00:11:03+00:00,0,0,,,2020-07-30 00:32:35,2020
140,True,True,True,161,7,16,active,161,0,True,2020-07-30 00:20:31+00:00,0,0,,,2020-07-30 00:32:35,2020
141,True,True,False,162,2,13,active,162,0,True,2020-07-29 20:56:43+00:00,0,0,,,2020-07-30 00:32:35,2020
142,True,True,True,163,3,16,active,163,0,True,2020-07-30 00:01:39+00:00,0,0,,,2020-07-30 00:32:35,2020
143,True,True,False,167,9,5,active,167,0,True,2020-07-30 00:23:39+00:00,0,1,,,2020-07-30 00:32:35,2020
144,True,True,False,169,11,8,active,169,0,True,2020-07-30 00:30:22+00:00,0,0,,,2020-07-30 00:32:35,2020
145,True,True,True,170,2,12,active,170,0,True,2020-07-30 00:03:43+00:00,0,0,,,2020-07-30 00:32:35,2020
146,True,True,True,171,7,15,active,171,0,True,2020-07-29 23:37:41+00:00,0,1,,,2020-07-30 00:32:35,2020
147,True,True,True,173,3,9,active,173,0,True,2020-07-30 00:27:49+00:00,0,2,,,2020-07-30 00:32:35,2020
148,True,True,False,174,9,6,active,174,0,True,2020-07-29 23:45:43+00:00,0,0,,,2020-07-30 00:32:35,2020
149,True,True,True,175,10,7,active,175,0,True,2020-07-30 00:28:09+00:00,0,0,,,2020-07-30 00:32:35,2020
150,True,True,False,176,9,6,active,176,0,True,2020-07-30 00:27:54+00:00,0,0,,,2020-07-30 00:32:35,2020
151,True,True,False,177,2,16,active,177,0,True,2020-07-30 00:16:20+00:00,0,1,,,2020-07-30 00:32:35,2020
152,True,True,False,178,1,17,active,178,0,True,2020-07-30 00:30:56+00:00,0,1,,,2020-07-30 00:32:35,2020
153,True,True,False,179,22,3,active,179,0,True,2020-07-30 00:25:54+00:00,0,0,,,2020-07-30 00:32:35,2020
154,True,True,False,180,4,15,active,180,0,True,2020-07-30 00:17:45+00:00,0,0,,,2020-07-30 00:32:35,2020
155,True,True,False,181,7,12,active,181,0,True,2020-07-29 22:40:39+00:00,0,0,,,2020-07-30 00:32:35,2020
156,True,True,True,182,9,10,active,182,0,True,2020-07-30 00:25:20+00:00,0,0,,,2020-07-30 00:32:35,2020
157,True,True,False,183,7,12,active,183,0,True,2020-07-29 23:49:26+00:00,0,0,,,2020-07-30 00:32:35,2020
158,True,True,False,184,13,6,active,184,0,True,2020-07-30 00:27:04+00:00,0,0,,,2020-07-30 00:32:35,2020
159,True,True,False,185,6,8,active,185,0,True,2020-07-30 00:29:21+00:00,0,1,,,2020-07-30 00:32:35,2020
160,True,True,True,186,8,6,active,186,0,True,2020-07-29 23:37:27+00:00,0,1,,,2020-07-30 00:32:35,2020
161,True,True,False,187,8,7,active,187,0,True,2020-07-30 00:21:21+00:00,0,0,,,2020-07-30 00:32:35,2020
162,True,True,False,188,7,8,active,188,0,True,2020-07-29 23:51:53+00:00,0,0,,,2020-07-30 00:32:35,2020
163,True,True,True,189,11,12,active,189,0,True,2020-07-30 00:11:24+00:00,0,0,,,2020-07-30 00:32:35,2020
164,True,True,True,190,17,19,active,190,0,True,2020-07-30 00:26:30+00:00,0,1,,,2020-07-30 00:32:35,2020
165,True,True,False,191,0,15,active,191,0,True,2020-07-29 23:41:22+00:00,0,0,,,2020-07-30 00:32:35,2020
166,True,True,False,192,0,19,active,192,0,True,2020-07-29 23:56:01+00:00,0,0,,,2020-07-30 00:32:35,2020
167,True,True,True,193,12,3,active,193,0,True,2020-07-30 00:01:13+00:00,0,0,,,2020-07-30 00:32:35,2020
168,True,True,False,194,13,6,active,194,0,True,2020-07-30 00:03:04+00:00,0,0,,,2020-07-30 00:32:35,2020
169,True,True,False,195,11,10,active,195,0,True,2020-07-30 00:27:06+00:00,0,2,,,2020-07-30 00:32:35,2020
170,True,True,True,196,0,10,active,196,0,True,2020-07-29 22:21:59+00:00,0,0,,,2020-07-30 00:32:35,2020
171,True,True,False,197,3,11,active,197,0,True,2020-07-29 23:16:20+00:00,0,1,,,2020-07-30 00:32:35,2020
172,True,True,False,199,8,7,active,199,0,True,2020-07-30 00:18:04+00:00,0,0,,,2020-07-30 00:32:35,2020
173,True,True,False,200,11,8,active,200,0,True,2020-07-30 00:24:14+00:00,0,0,,,2020-07-30 00:32:35,2020
174,True,True,False,201,0,15,active,201,0,True,2020-07-29 12:09:09+00:00,0,0,,,2020-07-30 00:32:35,2020
175,True,True,False,202,4,10,active,202,0,True,2020-07-29 23:36:32+00:00,0,1,,,2020-07-30 00:32:35,2020
176,True,True,False,203,4,11,active,203,0,True,2020-07-30 00:31:28+00:00,0,0,,,2020-07-30 00:32:35,2020
177,True,True,False,204,1,14,active,204,0,True,2020-07-29 22:19:57+00:00,0,0,,,2020-07-30 00:32:35,2020
178,True,True,False,205,4,10,active,205,0,True,2020-07-29 18:59:24+00:00,0,1,,,2020-07-30 00:32:35,2020
179,True,True,False,206,4,19,active,206,0,True,2020-07-30 00:25:56+00:00,0,0,,,2020-07-30 00:32:35,2020
180,True,True,True,208,13,2,active,208,0,True,2020-07-29 21:53:23+00:00,0,0,,,2020-07-30 00:32:35,2020
181,True,True,False,209,11,3,active,209,0,True,2020-07-29 21:54:31+00:00,0,1,,,2020-07-30 00:32:35,2020
182,True,True,False,210,2,13,active,210,0,True,2020-07-29 23:04:20+00:00,0,0,,,2020-07-30 00:32:35,2020
183,True,True,False,211,14,4,active,211,0,True,2020-07-30 00:16:38+00:00,0,1,,,2020-07-30 00:32:35,2020
184,True,True,False,212,8,25,active,212,0,True,2020-07-29 23:38:05+00:00,0,0,,,2020-07-30 00:32:35,2020
185,True,True,True,213,8,8,active,213,0,True,2020-07-29 21:05:25+00:00,0,0,,,2020-07-30 00:32:35,2020
186,True,True,False,214,7,7,active,214,0,True,2020-07-30 00:32:25+00:00,0,1,,,2020-07-30 00:32:35,2020
187,True,True,False,215,11,4,active,215,0,True,2020-07-29 22:41:34+00:00,0,0,,,2020-07-30 00:32:35,2020
188,True,True,False,216,17,1,active,216,0,True,2020-07-29 20:43:27+00:00,0,1,,,2020-07-30 00:32:35,2020
189,True,True,False,217,5,14,active,217,0,True,2020-07-30 00:24:53+00:00,0,0,,,2020-07-30 00:32:35,2020
190,True,True,False,218,14,1,active,218,0,True,2020-07-30 00:00:32+00:00,0,0,,,2020-07-30 00:32:35,2020
191,True,True,False,219,8,7,active,219,0,True,2020-07-29 22:19:28+00:00,0,0,,,2020-07-30 00:32:35,2020
192,True,True,False,221,6,12,active,221,0,True,2020-07-30 00:13:28+00:00,0,1,,,2020-07-30 00:32:35,2020
193,True,True,True,222,0,14,active,222,0,True,2020-07-29 23:28:42+00:00,0,0,,,2020-07-30 00:32:35,2020
194,True,True,False,224,10,7,active,224,0,True,2020-07-30 00:31:14+00:00,0,0,,,2020-07-30 00:32:35,2020
195,True,True,False,225,12,5,active,225,0,True,2020-07-30 00:14:35+00:00,0,2,,,2020-07-30 00:32:35,2020
196,True,True,False,226,3,12,active,226,0,True,2020-07-30 00:30:40+00:00,0,0,,,2020-07-30 00:32:35,2020
197,True,True,False,227,11,7,active,227,0,True,2020-07-30 00:23:54+00:00,0,1,,,2020-07-30 00:32:35,2020
198,True,True,False,228,11,8,active,228,0,True,2020-07-30 00:19:29+00:00,0,0,,,2020-07-30 00:32:35,2020
199,True,True,False,232,4,7,active,232,0,True,2020-07-29 23:15:59+00:00,0,0,,,2020-07-30 00:32:35,2020
200,True,True,False,233,6,8,active,233,0,True,2020-07-30 00:29:13+00:00,0,1,,,2020-07-30 00:32:35,2020
201,True,True,False,234,4,11,active,234,0,True,2020-07-29 22:13:33+00:00,0,0,,,2020-07-30 00:32:35,2020
202,True,True,False,235,11,4,active,235,0,True,2020-07-29 23:37:48+00:00,0,0,,,2020-07-30 00:32:35,2020
203,True,True,False,236,10,4,active,236,0,True,2020-07-30 00:31:56+00:00,0,1,,,2020-07-30 00:32:35,2020
204,True,True,False,239,6,9,active,239,0,True,2020-07-30 00:24:08+00:00,0,0,,,2020-07-30 00:32:35,2020
205,True,True,False,255,11,4,active,255,0,True,2020-07-29 17:50:43+00:00,0,0,,,2020-07-30 00:32:35,2020
206,True,True,False,258,1,14,active,258,0,True,2020-07-30 00:19:01+00:00,0,0,,,2020-07-30 00:32:35,2020
207,True,True,False,259,1,14,active,259,0,True,2020-07-29 22:31:42+00:00,0,0,,,2020-07-30 00:32:35,2020
208,True,True,False,260,8,4,active,260,0,True,2020-07-29 22:46:53+00:00,0,3,,,2020-07-30 00:32:35,2020
209,True,True,False,271,0,14,active,271,0,True,2020-07-30 00:14:55+00:00,0,1,,,2020-07-30 00:32:35,2020
210,True,True,False,272,5,12,active,272,0,True,2020-07-30 00:16:16+00:00,0,2,,,2020-07-30 00:32:35,2020
211,True,True,False,273,29,10,active,273,0,True,2020-07-29 23:47:09+00:00,0,1,,,2020-07-30 00:32:35,2020
212,True,True,False,279,11,8,active,279,0,True,2020-07-29 21:58:19+00:00,0,0,,,2020-07-30 00:32:35,2020
213,True,True,False,280,6,13,active,280,0,True,2020-07-30 00:21:53+00:00,0,0,,,2020-07-30 00:32:35,2020
214,True,True,False,282,14,0,active,282,0,True,2020-07-30 00:16:05+00:00,0,1,,,2020-07-30 00:32:35,2020
215,True,True,False,296,6,17,active,296,0,True,2020-07-30 00:15:33+00:00,0,0,,,2020-07-30 00:32:35,2020
216,True,True,False,318,3,15,active,318,0,True,2020-07-30 00:28:51+00:00,0,1,,,2020-07-30 00:32:35,2020
217,True,True,False,319,11,14,active,319,0,True,2020-07-30 00:03:44+00:00,0,0,,,2020-07-30 00:32:35,2020
218,True,True,False,327,15,0,active,327,0,True,2020-07-29 23:11:51+00:00,0,0,,,2020-07-30 00:32:35,2020
219,True,True,False,328,7,8,active,328,0,True,2020-07-29 23:37:21+00:00,0,0,,,2020-07-30 00:32:35,2020
