,is_renting,legacy_id,num_docks_available,eightd_has_available_keys,num_bikes_available,is_returning,station_id,num_bikes_disabled,is_installed,num_docks_disabled,num_ebikes_available,station_status,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
223,True,332,14,False,0,True,332,1,True,0,0,active,2020-08-18 22:10:22+00:00,,,2020-08-18 22:18:25,2020
224,True,333,4,False,20,True,333,1,True,0,0,active,2020-08-18 21:32:47+00:00,,,2020-08-18 22:18:25,2020
225,True,334,3,False,16,True,334,0,True,0,0,active,2020-08-18 21:57:01+00:00,,,2020-08-18 22:18:25,2020
226,True,335,14,False,5,True,335,0,True,0,0,active,2020-08-18 21:44:57+00:00,,,2020-08-18 22:18:25,2020
227,True,336,12,False,3,True,336,0,True,0,0,active,2020-08-18 21:08:08+00:00,,,2020-08-18 22:18:25,2020
228,True,337,2,False,13,True,337,0,True,0,0,active,2020-08-18 21:44:03+00:00,,,2020-08-18 22:18:25,2020
229,True,338,9,False,6,True,338,0,True,0,0,active,2020-08-18 22:06:18+00:00,,,2020-08-18 22:18:25,2020
230,True,339,8,False,7,True,339,0,True,0,0,active,2020-08-18 15:42:46+00:00,,,2020-08-18 22:18:25,2020
231,True,340,1,False,18,True,340,0,True,0,0,active,2020-08-18 19:23:25+00:00,,,2020-08-18 22:18:25,2020
232,True,341,3,True,12,True,341,0,True,0,0,active,2020-08-18 08:32:50+00:00,,,2020-08-18 22:18:25,2020
233,True,342,13,False,2,True,342,0,True,0,0,active,2020-08-18 22:18:10+00:00,,,2020-08-18 22:18:25,2020
234,True,343,10,False,4,True,343,1,True,0,0,active,2020-08-18 21:51:30+00:00,,,2020-08-18 22:18:25,2020
235,True,344,8,False,11,True,344,0,True,0,0,active,2020-08-18 22:14:47+00:00,,,2020-08-18 22:18:25,2020
236,True,345,4,False,14,True,345,1,True,0,0,active,2020-08-18 22:12:03+00:00,,,2020-08-18 22:18:25,2020
237,True,346,11,False,4,True,346,0,True,0,0,active,2020-08-18 22:16:39+00:00,,,2020-08-18 22:18:25,2020
238,True,347,6,False,9,True,347,0,True,0,0,active,2020-08-18 22:04:27+00:00,,,2020-08-18 22:18:25,2020
239,True,348,14,False,1,True,348,0,True,0,0,active,2020-08-18 21:30:35+00:00,,,2020-08-18 22:18:25,2020
240,True,349,12,False,5,True,349,0,True,0,0,active,2020-08-18 08:32:49+00:00,,,2020-08-18 22:18:25,2020
241,True,350,4,False,13,True,350,0,True,0,0,active,2020-08-18 21:31:55+00:00,,,2020-08-18 22:18:25,2020
242,True,351,3,False,12,True,351,0,True,0,0,active,2020-08-18 22:17:11+00:00,,,2020-08-18 22:18:25,2020
243,True,352,13,False,2,True,352,0,True,0,0,active,2020-08-18 21:51:41+00:00,,,2020-08-18 22:18:25,2020
244,True,353,6,True,9,True,353,0,True,0,0,active,2020-08-18 08:34:23+00:00,,,2020-08-18 22:18:25,2020
245,True,354,12,False,3,True,354,0,True,0,0,active,2020-08-18 22:10:03+00:00,,,2020-08-18 22:18:25,2020
246,True,355,1,False,16,True,355,0,True,0,0,active,2020-08-18 18:55:26+00:00,,,2020-08-18 22:18:25,2020
247,True,356,21,False,2,True,356,0,True,0,0,active,2020-08-18 22:11:30+00:00,,,2020-08-18 22:18:25,2020
248,True,357,5,False,10,True,357,0,True,0,0,active,2020-08-18 22:10:25+00:00,,,2020-08-18 22:18:25,2020
249,True,358,1,False,18,True,358,0,True,0,0,active,2020-08-18 22:06:49+00:00,,,2020-08-18 22:18:25,2020
250,True,359,13,False,2,True,359,0,True,0,0,active,2020-08-18 22:10:55+00:00,,,2020-08-18 22:18:25,2020
251,True,360,10,False,5,True,360,0,True,0,0,active,2020-08-18 21:55:19+00:00,,,2020-08-18 22:18:25,2020
252,True,361,15,False,4,True,361,0,True,0,0,active,2020-08-18 22:10:41+00:00,,,2020-08-18 22:18:25,2020
253,True,362,3,False,16,True,362,0,True,0,0,active,2020-08-18 22:03:32+00:00,,,2020-08-18 22:18:25,2020
254,True,363,14,False,4,True,363,1,True,0,0,active,2020-08-18 22:13:40+00:00,,,2020-08-18 22:18:25,2020
255,True,364,9,False,10,True,364,0,True,0,0,active,2020-08-18 22:14:29+00:00,,,2020-08-18 22:18:25,2020
256,True,365,18,False,1,True,365,0,True,0,0,active,2020-08-18 22:15:54+00:00,,,2020-08-18 22:18:25,2020
257,True,366,7,False,8,True,366,0,True,0,0,active,2020-08-18 22:07:26+00:00,,,2020-08-18 22:18:25,2020
258,True,367,3,False,16,True,367,0,True,0,0,active,2020-08-18 21:41:45+00:00,,,2020-08-18 22:18:25,2020
259,True,368,13,False,2,True,368,0,True,0,0,active,2020-08-18 21:51:46+00:00,,,2020-08-18 22:18:25,2020
260,True,369,12,False,3,True,369,0,True,0,0,active,2020-08-18 22:00:02+00:00,,,2020-08-18 22:18:25,2020
261,True,370,14,False,5,True,370,0,True,0,0,active,2020-08-18 22:15:15+00:00,,,2020-08-18 22:18:25,2020
262,True,371,13,False,6,True,371,0,True,0,0,active,2020-08-18 21:18:35+00:00,,,2020-08-18 22:18:25,2020
263,True,372,11,False,7,True,372,1,True,0,0,active,2020-08-18 22:17:42+00:00,,,2020-08-18 22:18:25,2020
264,True,373,7,False,8,True,373,0,True,0,0,active,2020-08-18 13:27:24+00:00,,,2020-08-18 22:18:25,2020
265,True,374,7,False,10,True,374,2,True,0,0,active,2020-08-18 22:10:23+00:00,,,2020-08-18 22:18:25,2020
266,True,376,6,False,9,True,376,0,True,0,0,active,2020-08-18 22:09:13+00:00,,,2020-08-18 22:18:25,2020
267,True,377,14,False,5,True,377,0,True,0,0,active,2020-08-18 21:46:51+00:00,,,2020-08-18 22:18:25,2020
268,True,378,15,False,4,True,378,0,True,0,0,active,2020-08-18 22:18:15+00:00,,,2020-08-18 22:18:25,2020
269,True,379,14,False,1,True,379,0,True,0,0,active,2020-08-18 22:09:34+00:00,,,2020-08-18 22:18:25,2020
270,True,380,12,False,5,True,380,1,True,0,0,active,2020-08-18 22:13:21+00:00,,,2020-08-18 22:18:25,2020
271,True,381,15,False,4,True,381,0,True,0,0,active,2020-08-18 22:16:08+00:00,,,2020-08-18 22:18:25,2020
272,True,384,16,True,3,True,384,0,True,0,0,active,2020-08-18 22:16:00+00:00,,,2020-08-18 22:18:25,2020
273,True,385,14,False,0,True,385,0,True,1,0,active,2020-08-18 22:14:01+00:00,,,2020-08-18 22:18:25,2020
274,True,386,17,False,2,True,386,0,True,0,0,active,2020-08-18 22:10:57+00:00,,,2020-08-18 22:18:25,2020
275,True,387,4,False,11,True,387,0,True,0,0,active,2020-08-18 21:20:53+00:00,,,2020-08-18 22:18:25,2020
276,True,388,2,False,9,True,388,0,True,0,0,active,2020-08-18 21:32:08+00:00,,,2020-08-18 22:18:25,2020
277,True,389,9,False,5,True,389,0,True,0,0,active,2020-08-18 20:11:12+00:00,,,2020-08-18 22:18:25,2020
278,True,390,7,False,8,True,390,0,True,0,0,active,2020-08-18 15:43:58+00:00,,,2020-08-18 22:18:25,2020
279,True,391,1,False,14,True,391,0,True,0,0,active,2020-08-18 13:31:28+00:00,,,2020-08-18 22:18:25,2020
280,True,392,8,False,7,True,392,0,True,0,0,active,2020-08-18 18:54:31+00:00,,,2020-08-18 22:18:25,2020
281,True,393,7,False,8,True,393,0,True,0,0,active,2020-08-18 21:41:59+00:00,,,2020-08-18 22:18:25,2020
282,True,394,13,False,1,True,394,0,True,0,0,active,2020-08-18 20:00:07+00:00,,,2020-08-18 22:18:25,2020
283,True,395,4,False,11,True,395,0,True,0,0,active,2020-08-18 21:35:53+00:00,,,2020-08-18 22:18:25,2020
284,True,396,2,False,13,True,396,0,True,0,0,active,2020-08-18 21:20:41+00:00,,,2020-08-18 22:18:25,2020
285,True,397,8,False,6,True,397,1,True,0,0,active,2020-08-18 20:30:21+00:00,,,2020-08-18 22:18:25,2020
286,True,398,7,False,12,True,398,0,True,0,0,active,2020-08-18 22:16:17+00:00,,,2020-08-18 22:18:25,2020
287,True,399,5,False,10,True,399,0,True,0,0,active,2020-08-18 22:07:50+00:00,,,2020-08-18 22:18:25,2020
288,True,400,8,False,19,True,400,0,True,0,0,active,2020-08-18 21:22:32+00:00,,,2020-08-18 22:18:25,2020
289,True,401,3,False,12,True,401,0,True,0,0,active,2020-08-18 21:41:26+00:00,,,2020-08-18 22:18:25,2020
290,True,402,9,False,6,True,402,0,True,0,0,active,2020-08-18 22:14:01+00:00,,,2020-08-18 22:18:25,2020
291,True,403,9,False,5,True,403,1,True,0,0,active,2020-08-18 22:09:12+00:00,,,2020-08-18 22:18:25,2020
292,True,404,9,False,7,True,404,0,True,0,0,active,2020-08-18 22:05:05+00:00,,,2020-08-18 22:18:25,2020
293,True,405,7,False,12,True,405,0,True,0,0,active,2020-08-18 22:11:46+00:00,,,2020-08-18 22:18:25,2020
294,True,406,1,False,18,True,406,0,True,0,0,active,2020-08-18 21:11:01+00:00,,,2020-08-18 22:18:25,2020
295,True,407,18,False,1,True,407,0,True,0,0,active,2020-08-18 21:59:03+00:00,,,2020-08-18 22:18:25,2020
296,True,408,11,False,3,True,408,1,True,0,0,active,2020-08-18 21:46:20+00:00,,,2020-08-18 22:18:25,2020
297,True,409,7,False,12,True,409,0,True,0,0,active,2020-08-18 22:11:44+00:00,,,2020-08-18 22:18:25,2020
298,True,410,13,False,6,True,410,0,True,0,0,active,2020-08-18 21:53:12+00:00,,,2020-08-18 22:18:25,2020
299,True,411,13,False,2,True,411,0,True,0,0,active,2020-08-18 22:12:23+00:00,,,2020-08-18 22:18:25,2020
300,True,412,7,False,12,True,412,0,True,0,0,active,2020-08-18 22:04:28+00:00,,,2020-08-18 22:18:25,2020
301,True,413,14,False,5,True,413,0,True,0,0,active,2020-08-18 22:17:36+00:00,,,2020-08-18 22:18:25,2020
302,True,414,19,False,4,True,414,0,True,0,0,active,2020-08-18 20:33:18+00:00,,,2020-08-18 22:18:25,2020
303,True,415,13,False,6,True,415,0,True,0,0,active,2020-08-18 22:01:02+00:00,,,2020-08-18 22:18:25,2020
304,True,416,12,False,0,True,416,3,True,0,0,active,2020-08-18 22:12:19+00:00,,,2020-08-18 22:18:25,2020
305,True,417,14,False,5,True,417,0,True,0,0,active,2020-08-18 22:14:26+00:00,,,2020-08-18 22:18:25,2020
306,True,419,8,False,7,True,419,0,True,0,0,active,2020-08-18 22:04:55+00:00,,,2020-08-18 22:18:25,2020
307,False,420,0,False,0,False,420,0,False,0,0,out_of_service,1970-01-02 00:00:00+00:00,,,2020-08-18 22:18:25,1970
308,True,421,0,False,19,True,421,0,True,0,0,active,2020-08-17 16:27:03+00:00,,,2020-08-18 22:18:25,2020
309,True,422,8,False,6,True,422,1,True,0,0,active,2020-08-18 15:24:57+00:00,,,2020-08-18 22:18:25,2020
310,True,423,10,False,9,True,423,0,True,0,0,active,2020-08-18 21:30:21+00:00,,,2020-08-18 22:18:25,2020
311,True,424,17,False,2,True,424,0,True,0,0,active,2020-08-18 21:17:04+00:00,,,2020-08-18 22:18:25,2020
312,True,425,15,False,1,True,425,0,True,0,0,active,2020-08-18 21:17:19+00:00,,,2020-08-18 22:18:25,2020
313,True,426,20,False,7,True,426,0,True,0,0,active,2020-08-18 22:08:46+00:00,,,2020-08-18 22:18:25,2020
314,True,427,18,False,1,True,427,0,True,0,0,active,2020-08-18 14:14:07+00:00,,,2020-08-18 22:18:25,2020
315,True,428,13,False,5,True,428,1,True,0,0,active,2020-08-18 21:16:49+00:00,,,2020-08-18 22:18:25,2020
316,True,430,4,False,15,True,430,0,True,0,0,active,2020-08-18 08:58:29+00:00,,,2020-08-18 22:18:25,2020
317,True,431,14,False,1,True,431,0,True,0,0,active,2020-08-18 15:50:09+00:00,,,2020-08-18 22:18:25,2020
318,True,432,15,False,4,True,432,0,True,0,0,active,2020-08-18 21:19:39+00:00,,,2020-08-18 22:18:25,2020
319,True,433,16,False,3,True,433,0,True,0,0,active,2020-08-18 08:58:55+00:00,,,2020-08-18 22:18:25,2020
320,True,434,19,False,0,True,434,0,True,0,0,active,2020-08-18 20:28:47+00:00,,,2020-08-18 22:18:25,2020
321,True,435,7,False,8,True,435,0,True,0,0,active,2020-08-18 21:49:42+00:00,,,2020-08-18 22:18:25,2020
322,True,436,15,False,0,True,436,0,True,0,0,active,2020-08-18 20:42:59+00:00,,,2020-08-18 22:18:25,2020
323,True,437,19,False,0,True,437,0,True,0,0,active,2020-08-18 22:15:52+00:00,,,2020-08-18 22:18:25,2020
324,True,440,2,False,15,True,440,0,True,0,0,active,2020-08-18 22:00:31+00:00,,,2020-08-18 22:18:25,2020
325,True,441,5,False,13,True,441,1,True,0,0,active,2020-08-18 21:35:54+00:00,,,2020-08-18 22:18:25,2020
326,True,442,0,False,15,True,442,0,True,0,0,active,2020-08-18 21:01:08+00:00,,,2020-08-18 22:18:25,2020
327,True,443,15,False,4,True,443,0,True,0,0,active,2020-08-18 21:44:46+00:00,,,2020-08-18 22:18:25,2020
328,True,445,10,False,9,True,445,0,True,0,0,active,2020-08-18 21:58:49+00:00,,,2020-08-18 22:18:25,2020
329,True,446,8,False,4,True,446,0,True,0,0,active,2020-08-18 22:10:15+00:00,,,2020-08-18 22:18:25,2020
330,True,447,15,False,4,True,447,0,True,0,0,active,2020-08-18 21:44:03+00:00,,,2020-08-18 22:18:25,2020
331,True,448,4,False,7,True,448,0,True,0,0,active,2020-08-18 08:58:50+00:00,,,2020-08-18 22:18:25,2020
332,True,449,0,False,0,True,449,0,False,0,0,out_of_service,1970-01-02 00:00:00+00:00,,,2020-08-18 22:18:25,1970
333,True,450,3,False,12,True,450,0,True,0,0,active,2020-08-18 22:03:43+00:00,,,2020-08-18 22:18:25,2020
334,True,451,8,False,7,True,451,0,True,0,0,active,2020-08-18 22:09:37+00:00,,,2020-08-18 22:18:25,2020
335,True,452,1,False,14,True,452,0,True,0,0,active,2020-08-18 22:10:47+00:00,,,2020-08-18 22:18:25,2020
336,True,453,14,False,0,True,453,1,True,0,0,active,2020-08-18 21:39:05+00:00,,,2020-08-18 22:18:25,2020
337,True,454,12,False,3,True,454,0,True,0,0,active,2020-08-18 22:01:54+00:00,,,2020-08-18 22:18:25,2020
338,True,455,9,False,3,True,455,0,True,0,0,active,2020-08-18 22:11:27+00:00,,,2020-08-18 22:18:25,2020
339,True,456,18,False,1,True,456,0,True,0,0,active,2020-08-18 22:04:42+00:00,,,2020-08-18 22:18:25,2020
340,True,457,1,False,10,True,457,0,True,0,0,active,2020-08-18 19:45:10+00:00,,,2020-08-18 22:18:25,2020
341,True,458,3,False,6,True,458,2,True,0,0,active,2020-08-18 22:14:11+00:00,,,2020-08-18 22:18:25,2020
